"GM_CODE","GM_NAAM","POSTCODE","DEK_PERC","OAD","STED","AANT_INW","AANT_MAN","AANT_VROUW","P_00_14_JR","P_15_24_JR","P_25_44_JR","P_45_64_JR","P_65_EO_JR","P_ONGEHUWD","P_GEHUWD","P_GESCHEID","P_VERWEDUW","BEV_DICHTH","AANTAL_HH","P_EENP_HH","P_HH_Z_K","P_HH_M_K","GEM_HH_GR","P_WEST_AL","P_N_W_AL","P_MAROKKO","P_ANT_ARU","P_SURINAM","P_TURKIJE","P_OVER_NW","WONINGEN","P_WONT2000","P_WONV2000","WOZ","P_KOOPWON","P_HUURWON","P_HUURCORP","P_HUUROVVH","P_HUKO_ONB","P_GAS_TOT","P_GAS_APP","P_GAS_TUS","P_GAS_HOEK","P_GAS_21K","P_GAS_VRY","P_GAS_ONB","P_STADVERW","P_ELEK_TOT","P_ELEK_APP","P_ELEK_TUS","P_ELEK_HOE","P_ELEK_21K","P_ELEK_VRY","P_ELEK_ONB","WWB_UITTOT","P_WWB_UIT","WWB_UITMUT","AGRA_BEDR","AGRA_MUT","P_GEWASSEN","P_VEETEELT","P_COMBI","AUTO_TOT","AUTO_HH","AUTO_LAND","BEDR_AUTO","MOTOR_2W","AF_ARTSPR","AV3_ARTSPR","AF_ZIEK_E","AV20ZIEK_E","AF_OPRITH","AF_KDV","AV3_KDV","AF_ONDVMB","AV5_ONDVMB","AF_ONDHV","AV5_ONDHV","AF_SUPERM","AV3_SUPERM","AF_RESTAU","AV3_RESTAU","AF_ZWEMB","AF_BIOS","AV10BIOS","AF_TREINST","OPP_TOT","OPP_LAND","OPP_WATER"
"GM0317","Eemnes",-99999999,-99999999,807,4,8835,4380,4460,20,11,25,31,13,45,44,7,4,285,3555,27,28,45,2.5,8,4,0,0,0,0,3,3620,91,9,333,66,34,23,11,0,2250,1400,1900,2150,2950,3800,2050,0,3750,2300,3600,3650,4300,5000,3350,50,15,-99999997,75,0,12,88,0,4325,1.2,139,720,425,1,4.6,4.7,6.2,1.1,1.1,3.3,2.9,1.1,4.5,0.8,0.8,4.2,0.7,10.6,2.2,6.8,4.9,6.8,3367,3102,265
"GM0321","Houten",-99999999,-99999999,1303,3,47620,23515,24105,22,13,27,29,9,48,43,6,3,859,18285,25,27,48,2.6,7,6,1,1,2,0,3,18175,64,36,316,68,32,28,4,0,1450,850,1250,1550,2200,3100,1700,17,3800,2450,3800,4000,4600,5200,4800,310,18,9,150,-1,38,57,5,44180,2.4,797,7930,1620,1.1,5.4,9,7,2,1.1,8.9,2.1,2.1,2.2,1.1,1.2,5.5,1.4,15.3,2.4,2.2,5.1,2.2,5898,5541,356
"GM0327","Leusden",-99999999,-99999999,1161,3,28810,14170,14640,19,11,24,31,15,43,46,6,5,491,12080,29,32,38,2.4,8,5,0,0,1,0,3,11825,92,8,307,68,32,23,9,0,2050,1150,1850,2150,2650,3500,2750,0,3750,2450,3650,3800,4250,5100,4450,130,12,0,95,1,6,86,7,13605,1.1,232,1150,1360,0.8,4.3,4.6,5.5,2.3,1.8,2.7,4.4,1.8,4.4,1.1,1,4.5,0.9,13.5,2.7,5.7,1,6.1,5894,5867,27
"GM0329","Loenen",-99999999,-99999999,334,5,8505,4165,4340,20,9,22,31,18,43,46,6,5,340,3555,29,33,38,2.4,9,4,0,0,1,1,2,3500,93,7,433,59,41,28,12,0,2450,1450,1950,2300,3000,3700,-99999997,0,3850,2350,3400,3650,4550,5050,-99999997,40,13,-99999997,65,0,8,89,3,4380,1.2,175,545,325,0.9,1,12.9,6.6,1.1,1.7,0.8,6.3,0.1,5.8,0.2,0.8,1.1,1.1,6,6.8,12.7,0,7.3,2732,2499,232
"GM0331","Lopik",-99999999,-99999999,350,5,14175,7205,6965,22,12,26,27,12,46,45,4,4,187,5305,25,30,45,2.7,3,3,1,0,0,0,1,5200,88,12,304,74,25,19,7,1,2200,1250,1700,2000,2500,3100,2400,0,3950,2650,3600,3750,4350,4800,4400,60,11,-8,245,0,12,83,6,6525,1.2,86,1910,700,1.6,1.3,12.1,4.2,1.6,2.8,0.6,7,0.3,7.1,0.2,2,0.8,2.1,1.6,7.9,11.9,0.3,15,7892,7571,320
"GM0333","Maarssen",-99999999,-99999999,1506,2,39665,19365,20295,17,12,26,32,13,44,44,7,4,1453,16770,29,31,40,2.3,9,9,2,1,3,1,3,15975,96,4,276,65,34,24,10,0,1900,1300,1750,2150,2800,3700,2900,0,3600,2300,3800,3900,4350,5000,4200,320,23,13,60,-3,29,71,0,17835,1.1,654,1755,1410,0.7,6.9,7.2,8.4,1.9,0.8,7.5,1.9,2.8,2.2,1,0.8,6.2,0.9,20.3,2.2,8.6,5.6,2,3096,2729,366
"GM0335","Montfoort",-99999999,-99999999,668,4,13495,6750,6740,21,12,26,28,13,46,45,4,4,358,5265,26,32,43,2.6,5,4,1,0,0,0,2,5255,90,10,311,74,26,17,9,0,2100,1300,1750,2150,2550,3200,3250,0,3850,2400,3550,3900,4300,5050,5850,60,11,2,105,-3,7,90,3,6065,1.2,161,1265,525,0.9,2.4,6.3,6.3,0.5,0.9,1.3,1.9,1.6,6.3,0.3,0.9,1.7,0.8,6.1,6.2,6.8,1,6.8,3822,3770,52
"GM0339","Renswoude",-99999999,-99999999,368,5,4600,2285,2315,23,14,27,25,11,45,47,4,4,250,1655,23,29,47,2.8,3,1,0,0,0,0,1,1645,80,20,314,69,30,21,9,0,2350,1150,1800,2200,2700,3100,-99999997,0,4050,2450,3650,3650,4550,5050,-99999997,20,13,-99999997,90,5,2,81,17,2265,1.4,123,625,240,0.9,1.1,11.9,3,0.6,3.4,0.4,7.5,0.1,7.5,0.1,0.9,1.1,0.8,3.1,5,7.1,1,4.6,1852,1843,9
"GM0340","Rhenen",-99999999,-99999999,826,4,18860,9330,9530,20,11,25,27,17,42,48,5,5,449,7550,27,34,38,2.5,5,4,2,0,0,0,2,7410,90,10,293,62,38,29,9,1,2300,1400,1800,2150,2650,3500,-99999997,0,3700,2450,3350,3550,4100,4850,-99999997,180,26,16,95,1,11,79,11,9030,1.2,215,1305,800,1.1,1.2,12.1,2,0.6,1,1.8,2.1,2.6,4.2,1.5,0.7,3.2,0.9,8.4,7.6,7,1.9,2.6,4374,4204,169
"GM0342","Soest",-99999999,-99999999,1326,3,45680,22210,23470,18,11,24,30,18,42,44,7,6,987,19990,34,32,35,2.3,9,10,1,1,1,5,3,19650,92,8,327,58,42,25,16,0,2250,1500,1850,2300,3000,3900,-99999997,0,3600,2400,3600,3900,4450,4950,-99999997,500,28,17,40,0,5,92,2,22135,1.1,478,2530,1845,0.8,6,2,11.3,1.6,0.8,7.2,2.8,1.8,2.8,1.9,0.7,6.1,0.7,18.2,2.1,7.5,1.3,2.2,4645,4626,19
"GM0344","Utrecht",-99999999,-99999999,3133,1,307080,148550,158530,17,17,37,19,10,62,28,6,4,3245,161025,53,22,25,1.9,10,21,9,1,2,4,5,132195,81,19,250,46,53,36,17,1,1250,900,1500,1750,2000,3100,750,24,2750,2200,3100,3350,4200,4950,3000,6310,47,7,75,1,19,80,1,129250,0.8,1366,16615,6785,0.6,16.5,2.7,9.8,2,0.5,34.5,1.5,6.5,1.7,6.1,0.6,19.4,0.5,131.6,2.1,3.2,8.3,1.9,9921,9465,457
